问题,答案,分类,命中次数
玩家调整家具布局，需要使用什么收回房间内的家具到物品栏？,如意符,科举,0
储备金模式下，参与以下哪个任务不能获得三界功绩？,运镖任务,科举,0
玩家想更换门派，可以向哪位NPC寻求帮助？,长安城的袁守诚,科举,0
若玩家不慎丢失了剧情道具，可以向哪位NPC寻求帮助？,长安城剧情道具NPC,科举,0
下列宝石中，可以镶嵌在腰带上的是？,光芒石,科举,0
下列宝石中，可以镶嵌在鞋子上的是？,黑宝石,科举,0
下列宝石中，可以镶嵌在头盔上的是？,月亮石,科举,0
以下场景无法通过飞行符到达的是？,大唐国境,科举,0
不能习得打造、裁缝等生活技巧的是？,门派师父,科举,0
下面装备特技中，是对自身产生效果的技能是？,凝气决,科举,0
玩家之间发起比武或者PK的快捷键是？,Alt+A,科举,0
下面召唤兽中参战等级与其它选项不同的是？,花妖,科举,0
玩家从哪里开始石猴授徒副本剧情？,大唐境外山贼头子,科举,0
古代成语“万人空巷”的寓意是,家家户户的人都从家里出来,科举,0
古代成语“美轮美奂”的意思是,形容房屋高大华丽,科举,0
古代成语“望其项背”的近义词是,望其肩项,科举,0
古代成语“首当其冲”的意思是,最先受到攻击或遭到灾难,科举,0
中国神话传说中人类的始祖是,女娲,科举,0
华夏民族在哪里诞生,黄河流域,科举,0
词语“芊芊”代表着什么颜色,翠绿色,科举,0
古代成语“黄钟大吕”的意思是,音乐或言辞庄严高妙,科举,0
传说中的“八大山人”有几个人,1个人,科举,0
与《木兰辞》并称“乐府双璧”的是,《孔雀东南飞》,科举,0
我国最早的表演艺术是,杂技,科举,0
“飞鸟尽，良弓藏，狡兔死，走狗烹”是谁最先说的,范蠡,科举,0
古代成语“蜀犬吠日”的意思是,少见多怪,科举,0
古代成语“白龙鱼服”的意思是,形容微服出行的危险,科举,0
古代成语“开门揖盗”的意思是,比喻引狼入室,科举,0
古代成语“爱鹤失众”的寓意是,因小失大,科举,0
古代成语“白首穷经”的寓意是,活到老学到老,科举,0
古代成语所说的“白山黑水”是,指长白山和黑龙江，泛指东北地区,科举,0
古代成语“百巧千穷”的寓意是,比喻有才能者境遇反而不好,科举,0
古代成语“并日而食”的寓意是,吃不饱，生活很穷困,科举,0
古代成语“不舞之鹤”的寓意是,指名不副实的无能的人,科举,0
古代成语“长绳系日”的寓意是,想留住时光,科举,0
唐朝古琴有几根弦,7根,科举,0
最古老的绘画形式是,壁画,科举,0
词语“同气”是指什么关系,兄弟,科举,0
词语“司空见惯”中的“司空”指的是,官职,科举,0
宫城的正门被称为,午门,科举,0
不属于中国四大名园的是,圆明园,科举,0
以下不是古代“春节”习俗的是,赏月亮,科举,0
古人常用松鹤延年图祝寿，鹤是生长在,沼泽,科举,0
“仲夏”在古代时令中是指农历几月,五月,科举,0
四书五经中的“五经”是指,诗、书、礼、易、春秋,科举,0
古时对厨师职业的人称为,庖,科举,0
古代六艺，“礼、乐、射、御、书、数”中的“御”是指,驾车,科举,0
从我国古代的神话传说来看，以下与月亮无关的是,夸父,科举,0
战国时期，各国都有自己独特的货币，其中使用“铲形币”的是,赵国,科举,0
“算盘”是古代的计算用具，正规的算盘中间用档木把算珠分为两栏，上栏每列两珠，下栏每列的珠数是,五珠,科举,0
《西厢记》脱胎于唐传奇故事,《会真记》,科举,0
算盘发明后，人们用珠算口诀帮助记忆，以下口诀“正确”的是,五去五进一,科举,0
"在我国,“桃月”是指",三月,科举,0
通往帝王陵区的神道上，石头动物后面的石人又叫做,石翁仲,科举,0
“玄英”是哪个季节的别称,冬季,科举,0
五谷中的“菽”是指,大豆,科举,0
“胄”是古代士兵使用的防护用具，用来保护哪个部位,头部,科举,0
“铜权”是古代常见的金属器物，后来被俗称为,秤砣,科举,0
古代军队调兵遣将的信物是？,虎符,科举,0
月上柳梢头，人约黄昏后。写的是中国哪个传统节日？,元宵,科举,0
“驿站”在元代称做什么？,站赤,科举,0
古代小说常用“沉鱼落雁，闭月羞花”形容女性之美，其中“沉鱼”是指,西施,科举,0
古代成语“墨守成规”的寓意是,形容固执守旧，不思改革进取,科举,0
古代成语“碧落黄泉”中的“黄泉”是指,地府,科举,0
乞巧节指的是农历,七月初七,科举,0
以下不属于“五谷”的农作物是,大蒜,科举,0
奇门遁甲“八门”中，哪一门不属于吉门,死,科举,0
下列哪个是唐朝高等学府,国子监,科举,0
古代用“沉鱼落雁，闭月羞花”形容女性之美，其中“闭月”是指,貂蝉,科举,0
小黄鱼长大之后是不是会变成大黄鱼？,不会,科举,0
南宋的都城临安，是现今何处？,杭州,科举,0
“火把节”在每年农历的什么时间举行？,六月二十四日,科举,0
被称为“七绝圣手”的唐代诗人是,王昌龄,科举,0
我国第一位伟大的浪漫主义爱国诗人是,屈原,科举,0
农历二十四节气的头一个节气是什么？,立春,科举,0
古书中说“日北至”，指太阳运行到最北的一日，从这一天起，进入炎热季节。这是指哪一个节气？,夏至,科举,0
先帝不以臣卑鄙，猥自枉屈，三顾臣于草庐之中。这里的“卑鄙”含义是？,地位、身份低微,科举,0
巴东三峡巫峡长，猿鸣三声泪沾裳。三峡是指哪三峡？,瞿塘峡、巫峡和西陵峡,科举,0
大漠孤烟直，长河落日圆。这句诗形容的是哪里的风光？,沙漠,科举,0
杨花落尽子规啼，闻道龙标过五溪。我寄愁心与明月，随风直到夜郎西。这里的“子规”是什么鸟？,杜鹃,科举,0
忽如一夜春风来，千树万树梨花开。这句诗形容的是什么季节的风光？,冬季,科举,0
轻拢慢捻抹复挑，初为霓裳后六幺。这里的“霓裳”是指？,一首乐曲,科举,0
三十六计第一计是？,瞒天过海,科举,0
三十六计最后一计是？,走为上计,科举,0
下列地支与其生肖配对正确的是哪一项？,巳——蛇,科举,0
“阳关大道”原是指通往那里的道路？,西域,科举,0
“一日不见，如隔三秋”里的“三秋”是指？,三个季度,科举,0
《白蛇传》中“白娘娘盗仙草”盗的是？,灵芝,科举,0
“期期艾艾”这个典故讲的是西汉的周昌和西晋的邓艾两个人说话时的什么毛病？,口吃,科举,0
苏轼的《题西林壁》如今刻在哪里？,西林寺,科举,0
傣族建造竹筒楼的原因不包括以下哪个原因？,防洪,科举,0
下列不属于八大菜系的是？,赣菜,科举,0
《水浒传》中的“水泊梁山”在今天我国的哪个省？,山东,科举,0
在《精卫填海》的故事里，“精卫”是？,小鸟,科举,0
中国古代的“上元节”指的是哪个节日,元宵节,元宵节,0
中国传统节日中秋节是指哪一天,农历八月十五,元宵节,0
中国民间的“重阳节”是指哪一天,农历九月初九,元宵节,0
梦幻西游里能够提高防御的宝石是,月亮石,元宵节,0
梦幻西游里能够提高躲避力的宝石是,神秘石,元宵节,0
梦幻西游里查看宠物界面的快捷键是,Alt+P,元宵节,0
梦幻西游里阴曹地府的森罗殿有几个NPC,11个,元宵节,0
梦幻西游里麒麟山的太岁府有几个NPC,3,元宵节,0
梦幻西游里能提高活力上限的辅助技能是,养生之道,元宵节,0
梦幻西游里能提高体力上限的辅助技能是,健身术,元宵节,0
梦幻西游里乾坤盘对抗赛活动于每周星期几举行,星期三,元宵节,0
梦幻西游里130级的武器和装备可以开运多少个孔数,5个,元宵节,0
梦幻西游里不允许摆摊的地方是,宝象国,元宵节,0
梦幻西游里哪个NPC处可以存储获得的普通藏宝图,宝石商人,元宵节,0
梦幻西游里至少达到多少级后才能结婚,30,元宵节,0
古代“重阳节”里有饮酒的习俗，所饮的酒是,菊花酒,元宵节,0
元宵节赏灯的习俗始于什么时期,东汉,元宵节,0
我国古代所说的“醍醐”是一种,美酒,元宵节,0
胭脂是古代女子常用的化妆品，一般用来装扮,腮部,元宵节,0
被称为“花中四君子”的是,梅、兰、竹、菊,元宵节,0
梦幻西游里要兑换仙玉可以找以下哪个NPC,桃源仙子,元宵节,0
五岳之说自古就有，其中南岳是指,衡山,元宵节,0
中国古代人们所说的“元旦”是指哪一天,春节,元宵节,0
“众星拱月”是哪种坐骑的装饰,凌霄飞剑,元宵节,0
古人泡茶注重用水，以下被视为上等茶水的是,山泉水,元宵节,0
我国古代酿酒的主要原料是,粮食,元宵节,0
下列具有消肿止痛，凉肝定惊作用的一味中草药是,重楼,元宵节,0
下列哪种草药能够治疗呕吐泻痢,黄连,元宵节,0
中草药里“甘草”的入药部分实际是植物的,根,元宵节,0
古代所称的“杏林高手”是指,医术高明之人,元宵节,0
梦幻西游里熔炼技巧可以产出以下哪种材料,钨金,元宵节,0
喜好饮酒，自称“酒中仙”的著名诗人是,李白,元宵节,0
“煮酒论英雄”的典故发生时间最接近哪个时期,三国时期,元宵节,0
下面哪一种不属于装备特效,吸血,元宵节,0
“交杯酒”一般出现在哪种场合,结婚喜宴,元宵节,0
正月十五元宵节又称为“上元节”，那么“中元节”是指哪一天,七月十五,元宵节,0
古代被称为建筑业的鼻祖的是,鲁班,元宵节,0
以下哪个是古代著名“唐三彩”工艺中的基本色彩之一,白色,元宵节,0
被称为“玉石之王”的是哪种工艺原料,翡翠,元宵节,0
正月十五元宵节又称为“上元节”，那么“下元节”是指哪一天,十月十五,元宵节,0
我国古代以产醋闻名的是哪个省,山西,元宵节,0
“景泰蓝”工艺品的主要原料是,铜,元宵节,0
梦幻西游里召唤兽仓库每间能存放最多几只召唤兽,10只,元宵节,0
古诗名句“采菊东篱下”的下句是,悠然见南山,元宵节,0
古诗名句“郎骑竹马来”的下句是,绕床弄青梅,元宵节,0
“山城”是我国哪座城市的雅号,重庆,元宵节,0
下列哪座山是我国四大佛教名山之一,峨眉山,元宵节,0
春秋时期“卧薪尝胆”最终灭掉吴国的是,越王勾践,元宵节,0
三国时期“割须弃袍”的是,曹操,元宵节,0
秦始皇统一全国后，规定国家通用的货币是哪一种,圆形方孔钱,元宵节,0
中国古代最早的货币是由什么材料制成的,贝壳,元宵节,0
古代战场上常见以马牵引的战车，这类战车均为,两轮车,元宵节,0
中药里所说的“陈皮”是指,晒干的橘皮,元宵节,0
中药“胖大海”的主要功效是,润喉止咳,元宵节,0
中药里的“雄黄”属于,矿物,元宵节,0
以下“不是”花茶中常用原料的是,君子兰,元宵节,0
以下“不是”古代药酒常用原料的是,鸡尾,元宵节,0
在梦幻西游里，哪项属性的点数分配对“灵力”的影响最大,魔力,元宵节,0
佛教所称“圆寂”是指,佛门中人去世,元宵节,0
五岳中被称为“北岳”的是,恒山,元宵节,0
我国最大的佛像是下列哪一座,乐山大佛,元宵节,0
道教名山武当山位于哪个省,湖北省,元宵节,0
牌坊是我国古代传统建筑，梦幻西游里的“安定坊”位于哪里,建邺城,元宵节,0
被称为“天下第一关”的是,山海关,元宵节,0
“五禽戏”起源于汉代，它属于,强身健体的功法,元宵节,0
古代发明的“云梯”按用途来讲属于,攻城器械,元宵节,0
战国时期的兵器大多用哪种材料制成,青铜,元宵节,0
项羽“破釜沉舟”战胜秦军是在哪次战役,巨鹿之战,元宵节,0
在梦幻西游里，包括普通阵法在内，一共有多少种阵法,11种,元宵节,0
梦幻西游长安城皇宫之下的门是什么门,玄武门,元宵节,0
梦幻西游里修炼果可以增加多少点修炼经验,150点,元宵节,0
下列哪个是用人物动作“休息”所要求的基本等级,40,元宵节,0
下列药品中，哪种是3级药品,蛇蝎美人,元宵节,0
烹饪技巧主要学习途径是找谁学,帮派,元宵节,0
“烟雨剑法”这个技能是属于下面那个门派的法术,五庄观,元宵节,0
“踏山裂石”这个技能是属于下面那个门派的法术,魔王寨,元宵节,0
身背硬壳袍，摇头又晃脑， 手执圣旨到，浪随口中来,龟丞相,元宵节,0
八只脚，抬面鼓，两把剪刀鼓前舞，生来横行又霸道，嘴里常把泡沫吐,蟹将,元宵节,0
小小诸葛亮，独坐中军帐，摆下八卦阵，专捉飞来将,蜘蛛精,元宵节,0
身穿黄底黑纹袍，呼啸一声百兽慌，虽然没率兵和将，威风凛凛山大王,老虎,元宵节,0
一对小小船，载客各五员， 无水走天下，有水不开船,布鞋,元宵节,0
一个每天都特别啰嗦的人，一年中哪一个月说话最少,2月,元宵节,0
12生肖中哪一种是现实生活里不存在的,龙,元宵节,0
有一头头朝北的牛，它向右转原地转三圈，然后向后转原地转三圈，接着再往右转，这时候它的尾巴朝哪,朝下,元宵节,0
长安城里的殷丞相与金山寺的玄奘是什么关系,外公,元宵节,0
下列僧人中哪位是金山寺的,法明长老,元宵节,0
什么东西天气越热，它爬的越高,温度计,元宵节,0
齐天大圣当年是被佛祖压在哪座山下,五行山,元宵节,0
三国时期马谡曾在街亭一战败给哪位魏国大将,张郃,元宵节,0
丝绸之路的开辟可以追溯到哪个朝代,西汉,元宵节,0
农夫有17只羊，除了9只以外都病死了，农夫还剩几只羊？,9只,元宵节,0
下列人选中哪位不属十殿阎王,镇南王,元宵节,0
下列人选哪位不在傲来国,蝴蝶女,元宵节,0
下列NPC哪位在普陀山,龙女宝宝,元宵节,0
多少点友好度才能将在线好友的名字显示为绿色,10点,元宵节,0
下列物品哪样是地府弟子无法鉴定的,衣服,元宵节,0
“大夫”在我国古代指,官职,元宵节,0
扁鹊的本名是,秦越人,元宵节,0
王母娘娘最好的蟠桃是几千年一熟,九千年,元宵节,0
在大唐国境教你技能的黑山老妖，找你索要什么动物,大蝙蝠,元宵节,0
“不为五斗米折腰”的古代人物是,陶渊明,元宵节,0
大唐境外的白衣人，他是谁的弟子,菩提祖师,元宵节,0
五庄观掌门镇元大仙，他的诨号是,与世同君,元宵节,0
“石头城”是对我国哪一座城市的美称,南京,元宵节,0
《道德经》是谁写的,太上老君,元宵节,0
国子监祭酒相当于现在的什么职位,大学校长,元宵节,0
东海龙王叫什么名字,敖广,元宵节,0
哪吒是李靖的第几个儿子,第三个,元宵节,0
唐太宗的年号是什么,贞观,元宵节,0
狮驼岭的三大王原形是什么,大鹏,元宵节,0
房玄龄，玄龄是他的表字，他的名是,乔,元宵节,0
地藏王是谁的弟子,佛祖,元宵节,0
“琴棋书画”中的“棋”指什么棋,围棋,元宵节,0
唐三藏的真名叫什么,陈玄奘,元宵节,0
“泼水节”是以下哪个少数民族的传统节日,傣族,元宵节,0
谁是孙悟空的师父,菩提祖师,元宵节,0
曼陀罗花在中医上有什么功效,麻醉,元宵节,0
“紫薇之术”中的“紫薇”，它的含义是什么,中书省,元宵节,0
白玉龙冠是多少级的帽子,90,元宵节,0
灵台方寸，斜月三星的谜底是,心,元宵节,0
“逐鹿中原”是什么时代群雄纷争的史实,秦末,元宵节,0
使用飞行符不能到达的地方是,波月洞,元宵节,0
钟馗是怎么死的,自己撞死,元宵节,0
“霸王别姬”的故事最早见于,史记,元宵节,0
以下哪种法术不能恢复气血上限,推气过宫,元宵节,0
以下哪种怪物不会出现在大雁塔,蜘蛛精,元宵节,0
以下最难见到的怪物是,曼珠沙华,元宵节,0
黄河壶口瀑布位于陕西与哪个省之间？,山西,元宵节,0
孙悟空的原形是,通灵石猴,元宵节,0
唐三藏去西天取什么经文,大乘佛法,元宵节,0
古语 “待字”中，“字”的意思是指,出嫁,元宵节,0
唐太宗的时候与房玄龄齐名的名相是,杜如晦,元宵节,0
以下技能不能用来复活的是,佛光普照,元宵节,0
观音姐姐的家在哪,潮音洞,元宵节,0
观音姐姐的家所在的山叫什么,落伽山,元宵节,0
以下武器不属于枪的是,肃魂,元宵节,0
以下武器不属于鞭的是,冷月,元宵节,0
“天上有只牛在飞，一定是我的地上吹”是哪位游戏NPC最引以为荣的对白,吹牛王,元宵节,0
中国最大的湖泊是,青海湖,元宵节,0
每个门派的回师门技能达到多少级时可以保证100%成功率,80级,元宵节,0
下列哪类召唤兽不在北俱芦洲出现过,黑山老妖,元宵节,0
下列哪类召唤兽不在盘丝岭出现过,兔子怪,元宵节,0
古代小说常用“沉鱼落雁，闭月羞花”形容女性之美，其中“闭月”是指,貂蝉,元宵节,0
以下哪种变异召唤兽的颜色不同于其他3类,变异大海龟,元宵节,0
哪类阵型效果为大幅度增加防御效果,地载阵,元宵节,0
大雁塔几层没有超级巫医,4,元宵节,0
“神庭穴”位于人体哪个部分？,头部,元宵节,0
盘丝岭女妖的造型是,芙蓉仙子,元宵节,0
梦幻西游里五庄观的乾坤殿中共有几支蜡烛,10,元宵节,0
下列哪种召唤兽为25级才可携带,小龙女,元宵节,0
下列哪种召唤兽为45级才可携带,雷鸟人,元宵节,0
下列哪种召唤兽为105级才可携带,鬼将,元宵节,0
可在战斗中使用回师门法术的为,方寸山,元宵节,0
传送至小西天的NPC名字为,灵山接引僧,元宵节,0
召唤兽“牛头”使用的武器是,扇子,元宵节,0
召唤兽“骷髅怪”一共使用几把武器,4,元宵节,0
“汗流浃背”的典故出自西汉周勃，他 “汗流浃背”的原因是,回答不出皇帝的问题,元宵节,0
哪里是去月宫的必经之路,天宫,元宵节,0
梦幻西游场景宝象国中共有几座大象造型的雕像,4,元宵节,0
“书中自有颜如玉，书中自有黄金屋。”这句话是谁说的,宋真宗,元宵节,0
“春种一粒粟”中的粟指,谷子,元宵节,0
经由宝象国不能到达的场景是,普陀山,元宵节,0
梦幻西游NPC太白金星位于哪个场景,长寿村,元宵节,0
下列哪个场景是通往波月洞的必经之路,碗子山,元宵节,0
“以人为镜，可以知得失。”这句话是唐太宗称赞谁的,魏征,元宵节,0
大唐国境杂货店里有一匾额，上书四个什么字,价廉物美,元宵节,0
著名旅游景点“雨花台”位于哪个城市？,南京,元宵节,0
魏武青虹中的魏武是指的,曹操,元宵节,0
失去街亭而被诸葛亮处斩的大将是,马谡,元宵节,0
李靖的表字是,药师,元宵节,0
长安就是今天的西安，她是唐朝的,首都,元宵节,0
唐高祖是哪个皇帝的庙号？,李渊,元宵节,0
李渊是从那里起兵的,太原,元宵节,0
“司空见惯”中的“司空”是指,官职,元宵节,0
唐太宗时候没有名列云烟阁的大将是,郭子仪,元宵节,0
程咬金被封为,卢公,元宵节,0
白帝在历史上是指,公孙述,元宵节,0
汉光武帝叫什么,刘秀,元宵节,0
汉武帝叫什么,刘彻,元宵节,0
马革裹尸的典故出于,马援,元宵节,0
爱毛反裘的含义是指,比喻不重视根本，轻重倒置。,元宵节,0
百二关河是指,山河险固,元宵节,0
抱关击柝的含义是,职位低下,元宵节,0
不待蓍龟的含义是,事情无疑难，很清楚,元宵节,0
蚍蜉撼树的含义是,自不量力,元宵节,0
古代四大美女之一的杨贵妃名,玉环,元宵节,0
中国古代唯一的女皇帝的国号为,周,元宵节,0
阿鼻地狱中的阿鼻是指,痛苦无有间断,元宵节,0
《庄子》是我国道家学派著作，它又名,《南华经》,元宵节,0
祭祀中的太牢之礼是最隆重的，太牢是指,牛、羊、豕,元宵节,0
社稷的原意是指,土神和谷神,元宵节,0
古代爵位中，比侯大的爵位是,王,元宵节,0
中国古代有所谓的九锡之礼，下面哪位受过此礼,曹操,元宵节,0
《道德经》全文大约,五千字,元宵节,0
以下哪个词语不能用于自称,乃,元宵节,0
以下哪个词语可以用于对别人的尊称,足下,元宵节,0
罗浮山乃道教名山，它位于,广东省,元宵节,0
著名道教人物葛洪著有,《抱朴子》,元宵节,0
道教中的一支全真派兴盛于,元朝,元宵节,0
女子待字闺中是什么意思,还未出嫁,元宵节,0
汉字“卅”表示,三十,元宵节,0
男子的弱冠之年是指,二十岁,元宵节,0
被称为荷月的月份是,六月,元宵节,0
以下不属于佛教流派的是,内丹派,元宵节,0
称呼别人的表字，合适的情况是,平辈之间的昵称,元宵节,0
中国象棋布局中“反攻马”又被称为,半壁河山,元宵节,0
中国象棋中两马互为根，互相保护的布局被称为,连环马,元宵节,0
唐人有诗云：“城头击鼓传花枝，席上搏拳握松子”中“搏拳”的含义是,划拳,元宵节,0
丝竹是指,琴与箫,元宵节,0
以下属于二胡名曲的是,《二泉映月》,元宵节,0
高胡是民族乐器的一种，主要流传于,广东地区,元宵节,0
“无边落木萧萧下”的平仄为,平平仄仄平平仄,元宵节,0
中国面积最大的省份是,新疆,元宵节,0
宋词名句“天不老，情难绝，心似双丝网，中有千千结。”的作者是,张先,元宵节,0
“前度刘郎今又来”中的刘郎是指的,刘禹锡,元宵节,0
“鞠躬尽瘁，死而后已”这句话是谁说的,诸葛亮,元宵节,0
“一去二三里，烟村四五家。亭台六七座，八九十枝花。”属于,数字诗,元宵节,0
“轻于鸿毛”中的鸿毛是哪种动物的毛？,大雁,元宵节,0
“忽如一夜春风来，千树万树梨花开”是哪位诗人的名句,岑参,元宵节,0
“问君西游何时还”是出于李白的那一首诗,《蜀道难》,元宵节,0
“对潇潇暮雨洒江天，一番洗清秋。”的作者是,柳永,元宵节,0
“青山遮不住，毕竟东流去。”的词牌是,《菩萨蛮》,元宵节,0
景泰蓝是什么地方的特种工艺？,北京,元宵节,0
“夕阳无限好，只是近黄昏。”的作者是,李商隐,元宵节,0
陶渊明号,五柳先生,元宵节,0
与“劝君更尽一杯酒”对仗的是,与尔同销万古愁,元宵节,0
宋词是一种,诗,元宵节,0
“日啖荔枝三百颗，不辞长做岭南人。”是哪位诗人的名句,苏轼,元宵节,0
召唤兽“吸血鬼”站立状态时，哪条腿在前,左腿,元宵节,0
龙井茶的产地是,杭州,元宵节,0
女儿红是哪里的特产,绍兴,元宵节,0
加饭酒之所以被这样命名，是因为,酿造中添加糯米饭,元宵节,0
酿酒业传说的祖师爷是,杜康,元宵节,0
历史上“乐不思蜀”的是哪位皇帝？,刘禅,元宵节,0
罗汉果的主要功效是,清肺润肠,元宵节,0
虎骨酒的原料主要是,虎骨,元宵节,0
传说茶是以下哪位发现的？,神农,元宵节,0
唐代王之涣诗曰“欲穷千里目，更上一层楼。”他这里说的楼是,鹳雀楼,元宵节,0
云南名茶普洱茶属于,黑茶,元宵节,0
小时像逗号，在水中玩耍。长大跳得高，捉虫是冠军（打一动物名）,巨蛙,元宵节,0
左手五个，右手五个。拿去十个，还剩十个（打一日常用品）,手套,元宵节,0
口比肚子大，给啥就吃啥。它吃为了你，你吃端着它（打一日常用品）,碗,元宵节,0
挥动钳子一双，玩弄尖刀八把，一生霸道横行，总爱胡抓乱爬。（打一动物）,蟹将,元宵节,0
"不是点心不是糖,软软凉凉肚里藏,不能吃来不能喝,每天也要尝一尝（打一日常用品）",牙膏,元宵节,0
